incident_id,crime_gravity_stolen,crime_gravity_not_stolen,ratio (stolen /not_stolen)
93993,2,1,2
94022,6,2,3
94095,3,3,1
94233,4,1,4
94342,1,1,1
94380,32,4,8
94388,4,2,2
94419,2,2,1
94467,8,6,1.3333334
94511,1,2,0.5
94543,8,2,4
94587,4,2,2
94747,14,4,3.5
94986,2,2,1
95107,4,2,2
95131,1,4,0.25
95218,2,2,1
95413,6,2,3
95458,4,2,2
95541,4,2,2
95643,2,2,1
95688,5,1,5
95896,14,2,7
96244,2,1,2
96327,6,2,3
96353,2,2,1
96383,2,2,1
96642,6,2,3
96712,2,1,2
97051,2,2,1
97101,2,2,1
97190,4,2,2
97442,1,1,1
97502,2,2,1
97776,4,2,2
97785,4,2,2
97876,6,2,3
97883,2,4,0.5
97901,4,2,2
97997,6,2,3
98214,4,1,4
98221,14,2,7
98303,2,2,1
98350,4,2,2
98360,2,2,1
98447,2,2,1
98451,1,1,1
98467,2,1,2
98487,4,2,2
98699,3,2,1.5
98805,6,2,3
98874,4,6,0.66666669
98894,14,6,2.3333333
99088,2,2,1
99325,6,2,3
99381,2,2,1
99387,12,6,2
99437,2,2,1
99462,1,1,1
99550,4,2,2
99579,2,1,2
99596,14,2,7
99614,10,2,5
99839,2,2,1
99940,2,2,1
100024,2,4,0.5
100132,2,2,1
100144,4,2,2
100231,6,4,1.5
100309,4,4,1
100344,12,2,6
100384,1,4,0.25
100419,6,2,3
100446,1,4,0.25
100530,2,1,2
100578,2,2,1
100592,8,8,1
100717,1,2,0.5
100853,10,6,1.6666666
100935,2,2,1
100986,2,1,2
100990,10,2,5
101038,2,2,1
101151,2,1,2
101159,1,1,1
101406,2,6,0.33333334
101500,4,2,2
101575,2,2,1
101600,2,2,1
101607,1,1,1
101688,4,2,2
101847,2,2,1
101857,6,2,3
101869,4,2,2
102042,16,2,8
102079,4,2,2
102312,6,6,1
102381,3,1,3
102485,8,6,1.3333334
102514,1,1,1
102542,20,2,10
102680,2,2,1
102775,2,2,1
102859,2,2,1
103118,2,2,1
103169,2,4,0.5
103219,1,3,0.33333334
103383,7,2,3.5
103433,3,2,1.5
103668,1,1,1
103677,4,2,2
103777,6,2,3
103817,1,1,1
103841,2,6,0.33333334
103879,2,2,1
103963,4,2,2
104398,1,1,1
104616,2,2,1
104648,12,6,2
104741,3,2,1.5
104868,14,6,2.3333333
104887,2,2,1
104913,2,6,0.33333334
104916,4,4,1
104957,2,2,1
105036,2,6,0.33333334
105380,4,4,1
105474,1,2,0.5
105543,2,2,1
105622,2,2,1
105658,24,6,4
105678,2,2,1
106221,2,6,0.33333334
106226,4,2,2
106427,6,2,3
106541,2,2,1
106552,6,2,3
106988,2,2,1
107059,4,2,2
107099,2,6,0.33333334
107257,2,2,1
107396,2,2,1
107537,2,2,1
107596,6,2,3
107680,2,2,1
107812,1,1,1
107869,4,4,1
108043,2,2,1
108251,4,2,2
108397,8,1,8
108411,4,2,2
108440,1,1,1
108450,4,2,2
108514,6,6,1
108625,3,2,1.5
108659,2,1,2
108662,1,1,1
108683,2,2,1
108740,2,2,1
108748,3,1,3
108874,2,1,2
108880,3,3,1
108882,3,2,1.5
109046,4,2,2
109054,2,1,2
109090,8,2,4
109101,1,1,1
109143,2,4,0.5
109285,4,2,2
109287,2,2,1
