latitude,longitude
42.7564,-84.5283
39.294,-76.62
41.4596,-90.8182
31.7741,-81.6326
41.8884,-71.392
42.5302,-89.0482
31.1274,-97.9117
39.7581,-75.5421
38.8127,-97.6497
44.6297,-69.9295
35.9725,-83.9861
41.3005,-95.9566
33.9776,-118.255
41.3278,-73.2924
30.6504,-96.3226
42.3112,-71.0904
40.7224,-74.1907
30.1021,-81.7257
36.7307,-119.769
34.5943,-98.3771
40.1073,-88.2095
42.9235,-71.4164
38.7296,-94.8443
44.0053,-73.1716
39.6983,-104.837
33.829,-80.3742
32.6799,-96.6111
36.2103,-86.2827
42.0901,-72.5544
40.8168,-74.1194
36.7647,-119.844
40.7641,-124.147
46.9251,-98.0056
34.2603,-92.0806
45.5434,-122.511
39.3742,-74.4283
43.0587,-76.1501
41.1862,-73.1302
35.5951,-82.5515
38.8509,-76.917
59.2066,-160.502
42.3447,-71.072
36.8408,-119.799
42.3078,-71.0672
37.4995,-120.863
36.8401,-88.8028
43.1069,-75.2504
42.2086,-71.1203
43.0041,-83.6842
44.6224,-123.075
43.4734,-89.7433
38.5844,-121.494
38.0701,-84.4621
29.028,-81.2952
33.0253,-97.1046
43.0968,-78.9496
42.9842,-71.4727
41.9368,-103.798
40.7997,-124.17
42.0212,-87.6804
41.0679,-85.1677
59.0397,-158.458
64.8636,-147.759
32.7462,-97.3295
37.1502,-86.0439
41.7018,-71.144
42.4652,-83.1836
46.8004,-92.117
45.4146,-122.787
42.1848,-83.605
40.8838,-73.9065
41.8275,-71.4178
28.4991,-81.2998
40.8563,-73.3753
42.4913,-79.3253
41.4464,-79.6964
34.2854,-85.1818
41.2924,-95.947
40.2087,-74.7478
42.2689,-83.5807
39.5444,-119.743
39.1734,-75.5066
44.5356,-75.6625
41.9715,-87.8954
34.275,-85.1833
39.6634,-86.1205
39.9308,-105.074
40.9343,-124.114
42.3038,-71.4101
42.0894,-72.5592
25.9604,-97.5145
35.5589,-80.4062
26.2922,-81.801
39.0767,-108.549
43.736,-87.7286
33.705,-78.8682
39.7564,-75.5678
42.3058,-71.5295
33.7072,-78.9093
42.292,-71.1175
46.1612,-122.909
